dimension,Goldblatt + Singer,Cantor,Simon Law,Schultz & Myers,Cofman Townsley,Bruning,Brown & Crouppen,Morgan & Morgan,OnderLaw,DM Law
Founded,1949,1985+,Multi-decade,2010,1973,2016,1980s,1988,2002,Multi-decade
Years operating,77,40+,30+,16,53,9,40+,37,23,20+
Aggregate recovered claimed,$1B+,$500M+,$2B+,$50-100M+,$1B+,$300M+,$1B+,$25B+ natl,Mass tort billions,Not prominent
Number of attorneys,~7-9,~10+,~50+,~5-7,~5-6,~5-6,100+,"1,000+",100+,20+
Locations,Clayton,St. Louis,Multi-state,STL/Creve Coeur/Ladue,STL/Clayton,STL/Creve Coeur/Chicago/IL,Multi-MO+IL,National (50+),National,STL+KC
Founder identity,Multi-gen legacy (Singer son),Mark Cantor solo brand,John Simon celebrity,2 named partners,Founders retired,Family - father + sons,Terry Crouppen TV brand,John Morgan brand,James Onder mass tort,Founder duo
Brand archetype,Heritage trial firm,Founder personality,Celebrity attorney,Specialty trial firm,Family-feel heritage,Family firm,TV/volume firm,National volume firm,Mass tort specialist,Founder-brand firm
Tagline hook,Protecting STL Since 1949,Count on Cantor,Prepare every case as if for trial,Premier PI Firm,Family-feel testimonials,Innovating the way to help,TV ad slogans,For the People,Mass tort specialist,Settlement focus
Trial readiness claim,Yes - comes prepared,Generic,Yes - strong,Yes - TTLA Top 10,Fully prepared,Trial attys prepared,Volume settlement model,Volume settlement model,Mass tort trial work,Settlement focus
Verifiable individual trial counts,Not disclosed per-atty,Aggregate only,$462M trucking verdict,Top 10 TTLA recognition,Aggregate only,Aggregate only,Aggregate only,Aggregate only,Mass tort verdicts,Not prominent
Defense-side experience,VAGUE - claims former defense attys,Not claimed,Not claimed,Not claimed,Not claimed,Not claimed,Not claimed,Not claimed,Not claimed,Not claimed
Caseload disclosed commitment,No,No,No,No,No,No,No (high volume),No (very high volume),No (mass tort),No
Practice focus,Generalist PI,Generalist PI,Multi-state PI + class actions,Tractor-trailer specialist,Generalist PI,Generalist PI,Volume PI,Volume PI natl,Mass tort,Generalist PI
Specialty depth claim,Generalist scale,Local generalist,Trucking + class action,Trucking natl co-counsel,Generalist scale,Generalist scale,Generalist volume,Generalist volume natl,Mass tort co-counsel,Generalist
Content investment level,Active social with attorney intros,Daily generic posts,4 podcasts (heavy investment),Reviews-focused,Testimonial-heavy,Active LinkedIn case stories,TV-heavy + volume social,Massive natl media spend,Targeted mass-tort SEO,Lower-key
Podcast presence,None,None,FOUR active podcasts,None visible,None,None,None visible,Some (national),None visible,None
Social FB likes,8195,892,1521,Reviews-focused,Lower-key,3834,High volume,Massive natl,Targeted mass-tort,Lower-key
Brand voice,Heritage warmth,Sales-aggressive,Authoritative peer-respected,Guerilla warfare (Myers),Family warmth,Family + plain-spoken,TV salesy,TV salesy natl,Class action authority,Conventional
Education connection,"Mixed (Wash U, others)",Harris-Stowe (Mark teaches),John Simon adjunct SLU,Mixed,Mixed (Mizzou Law),All Brunings SLU Law,Mixed,Mixed natl,Mixed,Mixed
Community foundation,Long-standing community work,Foundation 2019 - multi-cause,"LSEM 20+ yrs, SLU Law scholarship",Limited visible,Standard charity,Boys Hope Girls Hope sponsorships,TV-promoted causes,Natl charity programs,Mass tort advocacy,Limited visible
Anti-marketing posture,None - universal fit,None,None,None,None,None,None - TV reach claim,None - For the People,None - case-fit screening,None
Family/heritage framing,Strong (1949 legacy),Family-style like ours,Big enough small enough,Moderate,Strong (like family),Strong (multi-gen family),Friendly natl,For the People,None,Limited
Trial attorney count visible,Multiple (rotating),1-2 (Mark prominent),Multiple incl John,2 (Schultz + Myers),Multiple,3 (family),Many (TV-led),Hundreds (natl),Many (mass tort),Multiple (founders)
